date,time,speed,voltage,current,power,battery_level,totaldistance,system_temp,pwm,gps_speed,latitude,longitude,gps_alt,phase_current,torque,temp2,distance,mode,alert,gps_heading,gps_distance,tilt,roll
2026-04-05,10:00:00.000,0,126.4,0.9,117,100.0,12345.2,25,0,0.0,55.7558,37.6173,156,1.4,58.7,24,0.0,Riding,,0,12345.2,-2,1
2026-04-05,10:00:00.100,3,126.1,2.5,312,100.0,12345.2,26,5,2.4,55.7558,37.6173,156,3.7,62.5,25,0.0,Riding,,5,12345.2,-2,1
2026-04-05,10:00:00.200,5,125.5,5.6,709,100.0,12345.2,27,10,4.8,55.7558,37.6173,156,8.5,70.9,25,0.0,Riding,,10,12345.2,-2,1
2026-04-05,10:00:00.300,8,125.1,8.3,1041,100.0,12345.2,28,15,7.1,55.7558,37.6173,156,12.5,69.4,26,0.0,Riding,,15,12345.2,-2,1
2026-04-05,10:00:00.400,10,124.8,10.0,1245,100.0,12345.3,29,20,9.5,55.7558,37.6174,156,15.0,62.3,26,0.1,Riding,,20,12345.3,-2,1
2026-04-05,10:00:00.500,13,124.2,13.7,1696,100.0,12345.3,30,25,11.9,55.7558,37.6174,156,20.5,67.8,27,0.1,Riding,,25,12345.3,-2,1
2026-04-05,10:00:00.600,15,123.8,15.9,1966,100.0,12345.3,31,30,14.3,55.7559,37.6174,156,23.8,65.5,28,0.1,Riding,,30,12345.3,-2,1
2026-04-05,10:00:00.700,18,123.5,17.0,2101,100.0,12345.4,31,35,16.6,55.7559,37.6174,156,25.5,60.0,28,0.2,Riding,,35,12345.4,-2,1
2026-04-05,10:00:00.800,20,123.0,20.5,2524,100.0,12345.5,33,40,19.0,55.7559,37.6175,156,30.8,63.1,29,0.3,Riding,,40,12345.5,-2,1
2026-04-05,10:00:00.900,23,122.5,23.4,2865,100.0,12345.5,34,45,21.4,55.7559,37.6175,156,35.1,63.7,30,0.3,Riding,,45,12345.5,-2,1
2026-04-05,10:00:01.000,25,122.1,25.5,3116,100.0,12345.6,34,50,23.8,55.7559,37.6176,156,38.3,62.3,30,0.4,Riding,,50,12345.6,-2,1
2026-04-05,10:00:01.100,28,121.7,28.1,3422,100.0,12345.7,35,55,26.1,55.7560,37.6176,156,42.2,62.2,31,0.5,Riding,,55,12345.7,-2,1
2026-04-05,10:00:01.200,30,121.3,30.4,3693,100.0,12345.7,36,60,28.5,55.7560,37.6177,156,45.7,61.6,31,0.5,Riding,,60,12345.7,-2,1
2026-04-05,10:00:01.300,33,120.8,33.6,4063,100.0,12345.8,37,65,30.9,55.7560,37.6178,156,50.5,62.5,32,0.6,Riding,,65,12345.8,-2,1
2026-04-05,10:00:01.400,35,120.5,35.0,4218,100.0,12345.9,38,70,33.3,55.7561,37.6178,156,52.5,60.3,32,0.7,Riding,,70,12345.9,-2,1
2026-04-05,10:00:01.500,38,119.9,39.2,4698,100.0,12346.0,39,75,35.6,55.7561,37.6179,156,58.8,62.6,33,0.8,Riding,,75,12346.0,-2,1
2026-04-05,10:00:01.600,40,119.6,41.2,4929,100.0,12346.1,40,80,38.0,55.7561,37.6180,156,61.8,61.6,34,0.9,Riding,,80,12346.1,-2,1
2026-04-05,10:00:01.700,43,119.2,43.2,5154,100.0,12346.3,40,85,40.4,55.7562,37.6181,156,64.8,60.6,34,1.1,Riding,,85,12346.3,-2,1
2026-04-05,10:00:01.800,45,118.8,46.3,5494,100.0,12346.4,41,90,42.8,55.7562,37.6182,156,69.4,61.0,35,1.2,Riding,,90,12346.4,-2,1
2026-04-05,10:00:01.900,48,118.4,48.4,5727,100.0,12346.5,42,95,45.1,55.7563,37.6183,156,72.6,60.3,35,1.3,Riding,,95,12346.5,-2,1
2026-04-05,10:00:02.000,50,117.9,51.6,6083,100.0,12346.7,43,95,47.5,55.7563,37.6184,156,77.4,60.8,36,1.5,Riding,,100,12346.7,-2,1
2026-04-05,10:00:02.100,53,117.6,53.2,6252,100.0,12346.8,44,95,49.9,55.7564,37.6185,156,79.7,59.5,37,1.6,Riding,,105,12346.8,-2,1
2026-04-05,10:00:02.200,55,117.4,53.7,6301,100.0,12347.0,44,95,52.3,55.7564,37.6186,156,80.5,57.3,37,1.8,Riding,,110,12347.0,-2,1
2026-04-05,10:00:02.300,58,117.0,56.3,6594,100.0,12347.1,45,95,54.6,55.7565,37.6187,156,84.5,57.3,37,1.9,Riding,,115,12347.1,-2,1
2026-04-05,10:00:02.400,60,116.8,57.4,6702,100.0,12347.3,45,95,57.0,55.7566,37.6188,156,86.1,55.8,37,2.1,Riding,,120,12347.3,-2,1
2026-04-05,10:00:02.500,60,123.5,15.1,1869,100.0,12347.5,31,70,57.0,55.7566,37.6189,156,19.7,9.3,28,2.3,Riding,,120,12347.5,-2,1
2026-04-05,10:00:02.600,60,123.5,15.4,1898,100.0,12347.6,31,70,57.0,55.7567,37.6190,156,20.0,9.5,28,2.4,Riding,,120,12347.6,-2,1
2026-04-05,10:00:02.700,60,123.5,15.1,1865,100.0,12347.8,31,70,57.0,55.7567,37.6192,156,19.6,9.3,28,2.6,Riding,,120,12347.8,-2,1
2026-04-05,10:00:02.800,60,123.5,14.7,1815,100.0,12348.0,30,70,57.0,55.7568,37.6193,156,19.1,9.1,28,2.8,Riding,,120,12348.0,-2,1
2026-04-05,10:00:02.900,60,123.5,15.3,1890,100.0,12348.1,31,70,57.0,55.7568,37.6194,156,19.9,9.4,28,2.9,Riding,,120,12348.1,-2,1
2026-04-05,10:00:03.000,58,123.6,5.0,614,100.0,12348.3,27,17,55.1,55.7569,37.6195,156,6.0,2.1,25,3.1,Riding,,116,12348.3,-2,1
2026-04-05,10:00:03.100,56,123.7,4.8,594,100.0,12348.4,27,17,53.2,55.7570,37.6196,156,5.8,2.1,25,3.2,Riding,,112,12348.4,-2,1
2026-04-05,10:00:03.200,54,123.8,4.6,571,100.0,12348.6,27,16,51.3,55.7570,37.6197,156,5.5,2.1,25,3.4,Riding,,108,12348.6,-2,1
2026-04-05,10:00:03.300,52,123.9,4.6,565,100.0,12348.7,27,16,49.4,55.7571,37.6198,156,5.5,2.2,25,3.5,Riding,,104,12348.7,-2,1
2026-04-05,10:00:03.400,50,124.0,4.2,522,100.0,12348.9,27,15,47.5,55.7571,37.6199,156,5.1,2.1,25,3.7,Riding,,100,12348.9,-2,1
2026-04-05,10:00:03.500,48,124.1,4.2,527,100.0,12349.0,27,14,45.6,55.7572,37.6200,156,5.1,2.2,25,3.8,Riding,,96,12349.0,-2,1
2026-04-05,10:00:03.600,46,124.2,3.9,484,100.0,12349.1,26,14,43.7,55.7572,37.6201,156,4.7,2.1,25,3.9,Riding,,92,12349.1,-2,1
2026-04-05,10:00:03.700,44,124.3,3.9,481,100.0,12349.3,26,13,41.8,55.7573,37.6202,156,4.6,2.2,25,4.1,Riding,,88,12349.3,-2,1
2026-04-05,10:00:03.800,42,124.4,3.6,453,100.0,12349.4,26,13,39.9,55.7573,37.6203,156,4.4,2.2,25,4.2,Riding,,84,12349.4,-2,1
2026-04-05,10:00:03.900,40,124.5,3.3,413,100.0,12349.5,26,12,38.0,55.7573,37.6204,156,4.0,2.1,25,4.3,Riding,,80,12349.5,-2,1
2026-04-05,10:00:04.000,38,124.6,3.1,389,100.0,12349.6,26,11,36.1,55.7574,37.6205,156,3.7,2.0,25,4.4,Riding,,76,12349.6,-2,1
2026-04-05,10:00:04.100,36,124.7,3.2,405,100.0,12349.7,26,11,34.2,55.7574,37.6205,156,3.9,2.3,25,4.5,Riding,,72,12349.7,-2,1
2026-04-05,10:00:04.200,34,124.8,2.8,348,100.0,12349.8,26,10,32.3,55.7574,37.6206,156,3.3,2.0,25,4.6,Riding,,68,12349.8,-2,1
2026-04-05,10:00:04.300,32,124.9,2.8,355,100.0,12349.9,26,10,30.4,55.7575,37.6207,156,3.4,2.2,25,4.7,Riding,,64,12349.9,-2,1
2026-04-05,10:00:04.400,30,125.0,2.5,309,100.0,12350.0,26,9,28.5,55.7575,37.6207,156,3.0,2.1,25,4.8,Riding,,60,12350.0,-2,1
2026-04-05,10:00:04.500,28,125.1,2.2,281,100.0,12350.0,26,8,26.6,55.7575,37.6208,156,2.7,2.0,25,4.8,Riding,,56,12350.0,-2,1
2026-04-05,10:00:04.600,26,125.2,2.3,284,100.0,12350.1,26,8,24.7,55.7576,37.6208,156,2.7,2.2,25,4.9,Riding,,52,12350.1,-2,1
2026-04-05,10:00:04.700,24,125.3,2.2,273,100.0,12350.2,26,7,22.8,55.7576,37.6209,156,2.6,2.3,25,5.0,Riding,,48,12350.2,-2,1
2026-04-05,10:00:04.800,22,125.4,1.8,228,100.0,12350.2,26,7,20.9,55.7576,37.6209,156,2.2,2.1,24,5.0,Riding,,44,12350.2,-2,1
2026-04-05,10:00:04.900,20,125.5,1.7,218,100.0,12350.3,26,6,19.0,55.7576,37.6210,156,2.1,2.2,24,5.1,Riding,,40,12350.3,-2,1
2026-04-05,10:00:05.000,18,125.6,1.5,187,100.0,12350.3,26,5,17.1,55.7576,37.6210,156,1.8,2.1,24,5.1,Riding,,36,12350.3,-2,1
2026-04-05,10:00:05.100,16,125.7,1.5,194,100.0,12350.4,26,5,15.2,55.7577,37.6210,156,1.8,2.4,24,5.2,Riding,,32,12350.4,-2,1
2026-04-05,10:00:05.200,14,125.8,1.3,158,100.0,12350.4,25,4,13.3,55.7577,37.6211,156,1.5,2.3,24,5.2,Riding,,28,12350.4,-2,1
2026-04-05,10:00:05.300,12,125.9,1.0,121,100.0,12350.5,25,4,11.4,55.7577,37.6211,156,1.2,2.0,24,5.3,Riding,,24,12350.5,-2,1
2026-04-05,10:00:05.400,10,126.0,1.0,126,100.0,12350.5,25,3,9.5,55.7577,37.6211,156,1.2,2.5,24,5.3,Riding,,20,12350.5,-2,1
2026-04-05,10:00:05.500,8,126.1,0.7,94,100.0,12350.5,25,2,7.6,55.7577,37.6211,156,0.9,2.4,24,5.3,Riding,,16,12350.5,-2,1
2026-04-05,10:00:05.600,6,126.2,0.8,104,100.0,12350.5,25,2,5.7,55.7577,37.6211,156,1.0,3.5,24,5.3,Riding,,12,12350.5,-2,1
2026-04-05,10:00:05.700,4,126.3,0.6,75,100.0,12350.5,25,1,3.8,55.7577,37.6211,156,0.7,3.7,24,5.3,Riding,,8,12350.5,-2,1
2026-04-05,10:00:05.800,2,126.4,0.6,70,100.0,12350.5,25,1,1.9,55.7577,37.6211,156,0.7,7.0,24,5.3,Standby,,4,12350.5,-2,1
2026-04-05,10:00:05.900,0,126.5,0.2,28,100.0,12350.5,25,0,0.0,55.7577,37.6211,156,0.3,5.7,24,5.3,Standby,,0,12350.5,-2,1
2026-04-05,10:00:06.000,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.100,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.200,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.300,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.400,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.500,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.600,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.700,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.800,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:06.900,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.000,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.100,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.200,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.300,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.400,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.500,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.600,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.700,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.800,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:07.900,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.000,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.100,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.200,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.300,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.400,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.500,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.600,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.700,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.800,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:08.900,0,126.5,0,0,100.0,12350.5,25,0,0,55.7577,37.6211,156,0,0,24,5.3,Standby,,0,12350.5,0,0
2026-04-05,10:00:09.000,0,126.3,1.4,177,100.0,12350.5,26,0,0.0,55.7577,37.6211,156,2.1,88.3,24,5.3,Riding,,0,12350.5,-2,1
2026-04-05,10:00:09.100,3,126.0,3.0,377,100.0,12350.5,26,6,2.4,55.7577,37.6211,156,4.5,75.4,25,5.3,Riding,,5,12350.5,-2,1
2026-04-05,10:00:09.200,5,125.5,5.7,721,100.0,12350.6,27,12,4.8,55.7577,37.6212,156,8.6,72.1,25,5.4,Riding,,10,12350.6,-2,1
2026-04-05,10:00:09.300,8,125.0,9.1,1143,100.0,12350.6,28,18,7.1,55.7577,37.6212,156,13.7,76.2,26,5.4,Riding,,15,12350.6,-2,1
2026-04-05,10:00:09.400,10,124.5,11.8,1464,100.0,12350.6,29,24,9.5,55.7577,37.6212,156,17.6,73.2,27,5.4,Riding,,20,12350.6,-2,1
2026-04-05,10:00:09.500,13,124.1,14.1,1745,100.0,12350.6,30,30,11.9,55.7578,37.6212,156,21.1,69.8,27,5.4,Riding,,25,12350.6,-2,1
2026-04-05,10:00:09.600,15,123.8,16.1,1995,100.0,12350.7,31,36,14.3,55.7578,37.6212,156,24.2,66.5,28,5.5,Riding,,30,12350.7,-2,1
2026-04-05,10:00:09.700,18,123.2,19.5,2407,100.0,12350.7,32,42,16.6,55.7578,37.6213,156,29.3,68.8,29,5.5,Riding,,35,12350.7,-2,1
2026-04-05,10:00:09.800,20,122.9,21.1,2596,100.0,12350.8,33,48,19.0,55.7578,37.6213,156,31.7,64.9,29,5.6,Riding,,40,12350.8,-2,1
2026-04-05,10:00:09.900,23,122.3,25.0,3063,100.0,12350.9,34,54,21.4,55.7578,37.6214,156,37.6,68.1,30,5.7,Riding,,45,12350.9,-2,1
2026-04-05,10:00:10.000,25,122.0,26.8,3274,100.0,12350.9,35,60,23.8,55.7579,37.6214,156,40.3,65.5,31,5.7,Riding,,50,12350.9,-2,1
2026-04-05,10:00:10.100,28,121.5,29.8,3617,100.0,12351.0,36,66,26.1,55.7579,37.6215,156,44.7,65.8,31,5.8,Riding,,55,12351.0,-2,1
2026-04-05,10:00:10.200,30,121.0,33.4,4038,100.0,12351.1,37,72,28.5,55.7579,37.6215,156,50.1,67.3,32,5.9,Riding,,60,12351.1,-2,1
2026-04-05,10:00:10.300,33,120.7,34.5,4168,100.0,12351.2,38,78,30.9,55.7579,37.6216,156,51.8,64.1,32,6.0,Riding,,65,12351.2,-2,1
2026-04-05,10:00:10.400,35,120.1,38.8,4660,100.0,12351.3,39,84,33.3,55.7580,37.6217,156,58.2,66.6,33,6.1,Riding,,70,12351.3,-2,1
2026-04-05,10:00:10.500,38,119.6,41.6,4983,100.0,12351.4,40,90,35.6,55.7580,37.6217,156,62.5,66.4,34,6.2,Riding,,75,12351.4,-2,1
2026-04-05,10:00:10.600,40,119.3,43.6,5201,100.0,12351.5,41,95,38.0,55.7581,37.6218,156,65.4,65.0,34,6.3,Riding,,80,12351.5,-2,1
2026-04-05,10:00:10.700,43,118.9,46.1,5476,100.0,12351.6,41,95,40.4,55.7581,37.6219,156,69.1,64.4,35,6.4,Riding,,85,12351.6,-2,1
2026-04-05,10:00:10.800,45,118.6,47.5,5636,100.0,12351.7,42,95,42.8,55.7581,37.6220,156,71.3,62.6,35,6.5,Riding,,90,12351.7,-2,1
2026-04-05,10:00:10.900,48,118.3,48.9,5788,100.0,12351.9,42,95,45.1,55.7582,37.6221,156,73.4,60.9,36,6.7,Riding,,95,12351.9,-2,1
2026-04-05,10:00:11.000,50,118.0,50.4,5951,100.0,12352.0,43,95,47.5,55.7582,37.6222,156,75.6,59.5,36,6.8,Riding,,100,12352.0,-2,1
2026-04-05,10:00:11.100,50,124.0,12.6,1569,100.0,12352.1,30,65,47.5,55.7583,37.6223,156,16.4,9.4,27,6.9,Riding,,100,12352.1,-2,1
2026-04-05,10:00:11.200,50,124.0,12.4,1539,100.0,12352.3,30,65,47.5,55.7583,37.6224,156,16.1,9.2,27,7.1,Riding,,100,12352.3,-2,1
2026-04-05,10:00:11.300,50,124.0,12.7,1570,100.0,12352.4,30,65,47.5,55.7584,37.6225,156,16.5,9.4,27,7.2,Riding,,100,12352.4,-2,1
2026-04-05,10:00:11.400,50,124.0,12.7,1579,100.0,12352.6,30,65,47.5,55.7584,37.6226,156,16.5,9.5,27,7.4,Riding,,100,12352.6,-2,1
2026-04-05,10:00:11.500,50,124.0,12.4,1539,100.0,12352.7,30,65,47.5,55.7585,37.6227,156,16.1,9.2,27,7.5,Riding,,100,12352.7,-2,1
2026-04-05,10:00:11.600,48,124.1,4.2,524,100.0,12352.8,27,14,45.6,55.7585,37.6228,156,5.1,2.2,25,7.6,Riding,,96,12352.8,-2,1
2026-04-05,10:00:11.700,46,124.2,4.0,496,100.0,12353.0,26,14,43.7,55.7586,37.6229,156,4.8,2.2,25,7.8,Riding,,92,12353.0,-2,1
2026-04-05,10:00:11.800,44,124.3,3.8,479,100.0,12353.1,26,13,41.8,55.7586,37.6230,156,4.6,2.2,25,7.9,Riding,,88,12353.1,-2,1
2026-04-05,10:00:11.900,42,124.4,3.4,423,100.0,12353.2,26,13,39.9,55.7587,37.6231,156,4.1,2.0,25,8.0,Riding,,84,12353.2,-2,1
2026-04-05,10:00:12.000,40,124.5,3.3,406,100.0,12353.3,26,12,38.0,55.7587,37.6231,156,3.9,2.0,25,8.1,Riding,,80,12353.3,-2,1
2026-04-05,10:00:12.100,38,124.6,3.3,406,100.0,12353.4,26,11,36.1,55.7588,37.6232,156,3.9,2.1,25,8.2,Riding,,76,12353.4,-2,1
2026-04-05,10:00:12.200,36,124.7,3.2,402,100.0,12353.5,26,11,34.2,55.7588,37.6233,156,3.9,2.2,25,8.3,Riding,,72,12353.5,-2,1
2026-04-05,10:00:12.300,34,124.8,2.8,348,100.0,12353.6,26,10,32.3,55.7588,37.6233,156,3.3,2.0,25,8.4,Riding,,68,12353.6,-2,1
2026-04-05,10:00:12.400,32,124.9,2.6,327,100.0,12353.7,26,10,30.4,55.7589,37.6234,156,3.1,2.0,25,8.5,Riding,,64,12353.7,-2,1
2026-04-05,10:00:12.500,30,125.0,2.5,310,100.0,12353.8,26,9,28.5,55.7589,37.6235,156,3.0,2.1,25,8.6,Riding,,60,12353.8,-2,1
2026-04-05,10:00:12.600,28,125.1,2.5,319,100.0,12353.9,26,8,26.6,55.7589,37.6235,156,3.1,2.3,25,8.7,Riding,,56,12353.9,-2,1
2026-04-05,10:00:12.700,26,125.2,2.3,291,100.0,12353.9,26,8,24.7,55.7589,37.6236,156,2.8,2.2,25,8.7,Riding,,52,12353.9,-2,1
2026-04-05,10:00:12.800,24,125.3,2.3,286,100.0,12354.0,26,7,22.8,55.7590,37.6236,156,2.7,2.4,25,8.8,Riding,,48,12354.0,-2,1
2026-04-05,10:00:12.900,22,125.4,2.1,264,100.0,12354.1,26,7,20.9,55.7590,37.6237,156,2.5,2.4,25,8.9,Riding,,44,12354.1,-2,1
2026-04-05,10:00:13.000,20,125.5,1.8,232,100.0,12354.1,26,6,19.0,55.7590,37.6237,156,2.2,2.3,24,8.9,Riding,,40,12354.1,-2,1
2026-04-05,10:00:13.100,18,125.6,1.7,218,100.0,12354.2,26,5,17.1,55.7590,37.6237,156,2.1,2.4,24,9.0,Riding,,36,12354.2,-2,1
2026-04-05,10:00:13.200,16,125.7,1.4,178,100.0,12354.2,26,5,15.2,55.7590,37.6238,156,1.7,2.2,24,9.0,Riding,,32,12354.2,-2,1
2026-04-05,10:00:13.300,14,125.8,1.5,188,100.0,12354.2,26,4,13.3,55.7591,37.6238,156,1.8,2.7,24,9.0,Riding,,28,12354.2,-2,1
2026-04-05,10:00:13.400,12,125.9,1.3,168,100.0,12354.3,26,4,11.4,55.7591,37.6238,156,1.6,2.8,24,9.1,Riding,,24,12354.3,-2,1
2026-04-05,10:00:13.500,10,126.0,1.1,138,100.0,12354.3,25,3,9.5,55.7591,37.6239,156,1.3,2.8,24,9.1,Riding,,20,12354.3,-2,1
2026-04-05,10:00:13.600,8,126.1,0.8,107,100.0,12354.3,25,2,7.6,55.7591,37.6239,156,1.0,2.7,24,9.1,Riding,,16,12354.3,-2,1
2026-04-05,10:00:13.700,6,126.2,0.8,105,100.0,12354.3,25,2,5.7,55.7591,37.6239,156,1.0,3.5,24,9.1,Riding,,12,12354.3,-2,1
2026-04-05,10:00:13.800,4,126.3,0.4,52,100.0,12354.4,25,1,3.8,55.7591,37.6239,156,0.5,2.6,24,9.2,Riding,,8,12354.4,-2,1
2026-04-05,10:00:13.900,2,126.4,0.3,35,100.0,12354.4,25,1,1.9,55.7591,37.6239,156,0.3,3.5,24,9.2,Standby,,4,12354.4,-2,1
2026-04-05,10:00:14.000,0,126.5,0.2,22,100.0,12354.4,25,0,0.0,55.7591,37.6239,156,0.2,4.3,24,9.2,Standby,,0,12354.4,-2,1
2026-04-05,10:00:14.100,0,126.5,0,0,100.0,12354.4,25,0,0,55.7591,37.6239,156,0,0,24,9.2,Standby,,0,12354.4,0,0
2026-04-05,10:00:14.200,0,126.5,0,0,100.0,12354.4,25,0,0,55.7591,37.6239,156,0,0,24,9.2,Standby,,0,12354.4,0,0
